session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected
SID_00001,599,TCP,4,492.9832634,DES,0.6068180804,1,Edge,0,1
SID_00002,472,TCP,3,1557.996461,DES,0.3015689676,0,Firefox,0,0
SID_00003,629,TCP,3,75.04426166,DES,0.7391643279,2,Chrome,0,1
SID_00004,804,UDP,4,601.2488352,DES,0.1232671758,0,Unknown,0,1
SID_00005,453,TCP,5,532.5408884,AES,0.05487385674,1,Firefox,0,0
SID_00006,453,UDP,5,380.4715502,AES,0.4224858607,2,Chrome,1,0
SID_00007,815,ICMP,4,728.1071647,AES,0.4137719286,1,Chrome,0,1
SID_00008,653,TCP,3,12.59990601,DES,0.09771936586,3,Chrome,1,1
SID_00009,406,TCP,2,542.5588952,None,0.2945796877,0,Chrome,1,0
SID_00010,608,UDP,6,531.9441066,None,0.4241165642,1,Chrome,0,0
SID_00011,407,UDP,6,580.7219254,DES,0.1228937389,3,Firefox,0,1
SID_00012,406,UDP,9,191.0528369,DES,0.3397112713,1,Edge,0,1
SID_00013,548,TCP,2,186.1476383,None,0.4068986326,2,Safari,1,0
SID_00014,117,TCP,4,833.4889649,DES,0.4732919048,2,Unknown,0,1
SID_00015,155,TCP,3,77.84995157,None,0.3524755745,3,Chrome,0,1
SID_00016,387,ICMP,6,292.136196,DES,0.2549124511,3,Chrome,0,1
SID_00017,297,TCP,8,1421.414372,AES,0.3453675523,3,Firefox,0,1
SID_00018,562,UDP,1,87.64100169,None,0.1367291898,2,Firefox,0,0
SID_00019,318,TCP,5,504.98867,AES,0.3942314569,1,Unknown,0,1
SID_00020,217,ICMP,2,883.6175678,DES,0.3101131571,0,Chrome,0,0
SID_00021,793,TCP,3,122.1894142,AES,0.3693246493,2,Firefox,0,0
SID_00022,454,TCP,1,299.711548,None,0.3738745916,1,Chrome,0,0
SID_00023,513,TCP,3,654.5261426,AES,0.4970295436,1,Firefox,0,0
SID_00024,215,TCP,8,317.0788581,AES,0.4619508422,2,Chrome,0,1
SID_00025,391,TCP,5,93.171125,AES,0.5362451895,2,Firefox,0,0
SID_00026,522,TCP,4,211.5958425,AES,0.1078985576,3,Firefox,0,1
SID_00027,269,TCP,9,92.70169297,None,0.5068194257,0,Chrome,0,1
SID_00028,575,TCP,3,3286.221728,DES,0.420471185,0,Chrome,0,0
SID_00029,379,UDP,2,214.9821223,AES,0.7863154443,2,Chrome,0,1
SID_00030,441,TCP,7,604.9615523,AES,0.3360318478,0,Firefox,0,1
SID_00031,379,TCP,1,447.6233073,DES,0.09938981856,0,Chrome,0,0
SID_00032,870,UDP,2,674.2716308,DES,0.2720868406,1,Chrome,0,1
SID_00033,497,TCP,1,551.469339,None,0.03513925257,1,Chrome,1,0
SID_00034,288,ICMP,2,1039.101186,AES,0.1102694386,3,Chrome,0,1
SID_00035,664,TCP,6,1650.942099,None,0.3915442087,2,Chrome,1,0
SID_00036,255,TCP,2,268.713238,AES,0.5173361768,1,Chrome,1,0
SID_00037,541,TCP,5,162.2873081,None,0.1379758234,2,Chrome,0,0
SID_00038,108,TCP,7,3325.308689,AES,0.07950932194,2,Firefox,0,1
SID_00039,234,TCP,5,1608.365097,DES,0.6459042598,4,Firefox,0,1
SID_00040,539,TCP,4,361.9425946,DES,0.3087899599,0,Chrome,0,0
SID_00041,647,TCP,2,1801.413259,None,0.2991840394,1,Chrome,0,0
SID_00042,534,TCP,4,888.2555882,AES,0.03675213636,3,Chrome,0,1
SID_00043,476,TCP,4,460.1784563,DES,0.3974194616,2,Edge,0,0
SID_00044,439,TCP,5,1653.516944,None,0.2453131149,2,Chrome,0,0
SID_00045,204,TCP,4,899.840303,DES,0.3373211395,1,Chrome,0,0
SID_00046,356,TCP,2,1401.037266,DES,0.672976828,1,Chrome,0,1
SID_00047,407,TCP,7,432.697683,DES,0.08176971138,3,Edge,1,1
SID_00048,711,TCP,5,1282.428571,AES,0.2074454835,2,Edge,0,1
SID_00049,568,TCP,6,365.7355549,AES,0.5343683322,2,Unknown,0,1
SID_00050,147,TCP,1,1062.65915,AES,0.2633726317,1,Edge,0,0
SID_00051,564,TCP,2,457.4952009,None,0.2197047318,1,Edge,1,0
SID_00052,422,TCP,5,415.6167951,AES,0.4663241681,1,Chrome,0,0
SID_00053,364,TCP,5,1274.194239,AES,0.8708336888,2,Firefox,0,1
SID_00054,622,TCP,6,106.8587436,None,0.3298889702,1,Firefox,1,1
SID_00055,706,TCP,4,2107.197167,DES,0.4658562587,2,Edge,1,0
SID_00056,686,TCP,3,568.5288982,DES,0.6136432536,1,Firefox,0,1
SID_00057,332,TCP,2,808.6446595,AES,0.1742454821,2,Chrome,0,0
SID_00058,438,TCP,4,415.7067631,DES,0.2172346369,1,Chrome,0,0
SID_00059,566,UDP,5,830.4834648,DES,0.6028501934,1,Firefox,0,1
SID_00060,695,UDP,1,989.8897961,AES,0.2594185521,2,Edge,0,1
SID_00061,404,TCP,9,1622.860871,DES,0.2356755502,2,Chrome,0,1
SID_00062,462,TCP,5,1541.39677,AES,0.04001918292,2,Chrome,0,0
SID_00063,278,TCP,8,354.3027102,AES,0.5116026457,2,Edge,0,1
SID_00064,260,UDP,6,765.383721,AES,0.5402342873,1,Chrome,0,0
SID_00065,662,TCP,3,1213.404212,None,0.4544121864,1,Safari,0,0
SID_00066,771,ICMP,6,1158.071232,None,0.1357785048,2,Chrome,1,0
SID_00067,485,TCP,5,1772.622948,None,0.4362987418,2,Chrome,0,0
SID_00068,700,TCP,6,1426.764225,DES,0.1997666308,4,Chrome,0,1
SID_00069,572,TCP,10,1012.269951,DES,0.164457348,1,Chrome,0,1
SID_00070,370,TCP,1,1105.380602,AES,0.4086537169,2,Chrome,0,1
SID_00071,572,TCP,6,1317.893595,AES,0.2053917877,0,Edge,0,0
SID_00072,807,TCP,3,1455.57678,AES,0.6271547549,0,Unknown,0,1
SID_00073,492,TCP,4,347.9180542,AES,0.2638643281,1,Edge,0,1
SID_00074,812,UDP,7,1217.91392,DES,0.6517209981,2,Chrome,0,1
SID_00075,64,TCP,6,2384.028669,None,0.512511543,1,Chrome,0,0
SID_00076,664,TCP,3,212.1765961,None,0.1055602857,0,Chrome,0,0
SID_00077,517,TCP,5,39.54966375,DES,0.3360337531,1,Edge,0,1
SID_00078,440,UDP,5,60.12054049,DES,0.3466523485,1,Chrome,0,0
SID_00079,518,UDP,7,195.4101799,AES,0.4472088364,0,Chrome,0,1
SID_00080,102,TCP,3,2018.489323,None,0.2080783197,2,Edge,0,0
SID_00081,456,TCP,5,108.4689356,DES,0.1097625098,2,Firefox,0,0
SID_00082,571,TCP,5,1101.401768,DES,0.4818222138,2,Chrome,1,0
SID_00083,795,TCP,6,1614.18861,AES,0.1796520284,2,Chrome,0,1
SID_00084,396,TCP,6,1679.852697,None,0.6107440107,0,Chrome,0,1
SID_00085,338,UDP,2,431.3095535,AES,0.3254855696,1,Edge,0,0
SID_00086,399,TCP,3,546.9722169,None,0.5954335496,0,Chrome,0,0
SID_00087,683,TCP,5,312.3613276,AES,0.3415719128,3,Firefox,0,1
SID_00088,565,TCP,8,127.5196421,AES,0.1981503877,2,Chrome,1,1
SID_00089,394,UDP,4,190.7796533,AES,0.3840149947,1,Chrome,0,1
SID_00090,602,TCP,4,115.8219298,AES,0.2826995354,1,Chrome,1,1
SID_00091,519,TCP,3,418.7535921,AES,0.5074718562,2,Firefox,1,0
SID_00092,693,TCP,4,149.3968243,DES,0.7465329921,2,Edge,0,1
SID_00093,359,TCP,4,413.2077482,AES,0.3961354801,3,Chrome,0,1
SID_00094,434,UDP,7,1524.06328,DES,0.2653750876,0,Firefox,0,1
SID_00095,421,TCP,7,850.2462962,DES,0.7363071668,3,Safari,0,1
SID_00096,207,UDP,4,869.5488497,AES,0.1801952292,3,Firefox,0,1
SID_00097,559,TCP,3,1336.480972,AES,0.280459505,1,Safari,0,0
SID_00098,552,TCP,2,33.65280381,AES,0.3119724983,0,Firefox,0,0
SID_00099,501,UDP,3,1265.88981,AES,0.3595860977,2,Firefox,0,0
SID_00100,453,TCP,5,174.8719898,AES,0.4396989559,2,Firefox,0,0
SID_00101,216,TCP,6,339.6289337,AES,0.7929087236,0,Edge,0,1
SID_00102,415,TCP,2,294.5849672,AES,0.2046812711,3,Chrome,0,1
SID_00103,431,TCP,2,89.33142788,AES,0.02130268257,2,Firefox,0,0
SID_00104,339,TCP,3,152.6475055,DES,0.408680982,2,Firefox,0,0
SID_00105,467,ICMP,1,2505.190225,AES,0.2099886202,2,Chrome,0,0
SID_00106,580,ICMP,3,733.5772845,DES,0.2422452498,2,Chrome,0,0
SID_00107,877,TCP,4,513.9203055,None,0.1815156637,0,Edge,0,1
SID_00108,534,TCP,4,1134.375925,None,0.6356549061,2,Chrome,0,1
SID_00109,551,TCP,5,1344.486704,DES,0.2153356389,0,Firefox,0,0
SID_00110,485,TCP,6,93.46336108,DES,0.4063312275,2,Chrome,0,0
SID_00111,116,TCP,4,1080.449674,AES,0.4623687099,0,Edge,0,0
SID_00112,494,TCP,6,2155.276873,AES,0.4082261331,1,Firefox,0,0
SID_00113,512,TCP,6,704.4224885,DES,0.2212732587,1,Chrome,1,0
SID_00114,992,TCP,2,761.8596818,DES,0.04253898892,1,Firefox,0,0
SID_00115,461,TCP,3,1634.686998,DES,0.09022441462,1,Edge,0,1
SID_00116,560,TCP,5,910.2548698,DES,0.2938481305,2,Chrome,0,0
SID_00117,493,UDP,1,4282.643311,DES,0.4271570441,1,Unknown,0,0
SID_00118,266,TCP,5,265.801795,None,0.3106996126,2,Safari,1,1
SID_00119,728,TCP,9,1493.948385,DES,0.3440707492,0,Chrome,0,1
SID_00120,650,TCP,9,758.2441511,None,0.3970540586,1,Chrome,1,1
SID_00121,658,TCP,3,364.2314265,DES,0.4228182535,1,Chrome,0,0
SID_00122,318,TCP,2,1716.873183,DES,0.173547597,1,Edge,0,0
SID_00123,780,TCP,5,4468.001253,None,0.5133769786,1,Chrome,0,0
SID_00124,219,ICMP,4,47.67208919,DES,0.08392452306,3,Firefox,1,1
SID_00125,617,TCP,5,2077.809327,AES,0.7566412792,1,Firefox,0,1
SID_00126,938,TCP,5,181.6319084,AES,0.3289525286,2,Firefox,0,0
SID_00127,301,TCP,6,183.7197583,AES,0.2639313835,2,Firefox,0,0
SID_00128,386,ICMP,1,34.12234568,None,0.2923132031,1,Chrome,1,0
SID_00129,519,UDP,8,2042.764959,AES,0.2337753259,3,Chrome,0,1
SID_00130,399,UDP,6,1139.68906,AES,0.7173627312,1,Chrome,0,1
SID_00131,189,TCP,1,43.94449987,AES,0.3248008021,2,Chrome,0,0
